repo_id,repo_name,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
169,jira-plugins-groovy,0,0,0,0,0,0,0
170,sql-for-lucene,0,0,0,0,0,0,0
171,fluentmark,0,0,0,0,0,0,0
172,sonar-solidity,0,0,0,0,0,0,0
173,sonar-openedge,0,0,0,0,0,0,0
174,apex-malhar,0,0,0,0,0,0,0
175,Objc2Lua,0,0,0,0,0,0,0
176,liferay-portal,0,0,0,0,0,0,0
177,graphql-java,0,0,0,0,0,0,0
178,COOL-Compiler,0,0,0,0,0,0,0
179,yw-prototypes,0,0,0,0,0,0,0
180,PhyDyn,0,0,0,0,0,0,0
181,squiggly,0,0,0,0,0,0,0
182,jd-gui,0,0,0,0,0,0,0
183,tajo,0,0,0,0,0,0,0
184,MASTER,0,0,0,0,0,0,0
185,drools,0,0,0,0,0,0,0
186,systemml,0,0,0,0,0,0,0
187,WurstScript,0,0,0,0,0,0,0
188,geotoolkit,0,0,0,0,0,0,0
189,smartcheck,0,0,0,0,0,0,0
190,viskell,0,0,0,0,0,0,0
191,lockss-daemon,0,0,0,0,0,0,0
192,goworks,0,0,0,0,0,0,0
193,Liqp,0,0,0,0,0,0,0
194,gemfire-fe,0,0,0,0,0,0,0
195,karate,0,0,0,0,0,0,0
196,javersion,0,0,0,0,0,0,0
197,Illarion-Java,0,0,0,0,0,0,0
198,sample.csv,0,0,0,0,0,0,0
199,LogicNG,0,0,0,0,0,0,0
200,JBotSim,0,0,0,0,0,0,0
201,Bats,0,0,0,0,0,0,0
202,nadel,0,0,0,0,0,0,0
203,kalang,0,0,0,0,0,0,0
204,scheduler,0,0,0,0,0,0,0
205,step,0,0,0,0,0,0,0
206,trygve,0,0,0,0,0,0,0
207,Simulizer,0,0,0,0,0,0,0
208,FastAsyncWorldEdit-1.13,0,0,0,0,0,0,0
209,istio-java-api,0,0,0,0,0,0,0
210,vespa,0,0,0,0,0,0,0
211,sqlite-analyzer,0,0,0,0,0,0,0
212,inflectible,0,0,0,0,0,0,0
213,doop-mirror,0,0,0,0,0,0,0
214,ebean,0,0,0,0,0,0,0
215,oxTrust,0,0,0,0,0,0,0
216,dapeng-soa,0,0,0,0,0,0,0
217,mvn-golang,0,0,0,0,0,0,0
218,requs,0,0,0,0,0,0,0
219,runelite-ext,0,0,0,0,0,0,0
220,spaghetti,0,0,0,0,0,0,0
221,jetbrains-plugin-st4,0,0,0,0,0,0,0
222,jet,0,0,0,0,0,0,0
223,graal,0,0,0,0,0,0,0
224,JuliaDT,0,0,0,0,0,0,0
225,claw-compiler,0,0,0,0,0,0,0
226,ScarabIDE,0,0,0,0,0,0,0
227,Java2Cpp-Translator,0,0,0,0,0,0,0
228,libra,0,0,0,0,0,0,0
229,crate,0,0,0,0,0,0,0
230,incubator-druid,0,0,0,0,0,0,0
231,mumbler,0,0,0,0,0,0,0
232,intellij-plugin-v4,0,0,0,0,0,0,0
233,jkind,0,0,0,0,0,0,0
234,protostuff-compiler,0,0,0,0,0,0,0
235,JsDroidMobile,0,0,0,0,0,0,0
236,bioLQM,0,0,0,0,0,0,0
237,ballerina-lang,0,0,0,0,0,0,0
238,asciidoc-grammar-prototype,0,0,0,0,0,0,0
239,RankPL,0,0,0,0,0,0,0
240,titan.EclipsePlug-ins,0,0,0,0,0,0,0
241,notaql,0,0,0,0,0,0,0
242,vulnerability-assessment-tool,0,0,0,0,0,0,0
243,xqdoc,0,0,0,0,0,0,0
244,scava,0,0,0,0,0,0,0
245,cst,0,0,0,0,0,0,0
246,handlebars.java,0,0,0,0,0,0,0
247,Enkel-JVM-language,0,0,0,0,0,0,0
248,diqube,0,0,0,0,0,0,0
249,Java-Helps-Java,0,0,0,0,0,0,0
250,yangtools,0,0,0,0,0,0,0
251,typescript-to-scala-js-facade,0,0,0,0,0,0,0
252,logparser,0,0,0,0,0,0,0
253,monsoon,0,0,0,0,0,0,0
254,rainbow,0,0,0,0,0,0,0
255,ASTGenerator,0,0,0,0,0,0,0
256,joern,0,0,0,0,0,0,0
257,vertexium,0,0,0,0,0,0,0
258,heroic,0,0,0,0,0,0,0
259,hppc,0,0,0,0,0,0,0
260,elasticsearch-jdbc,0,0,0,0,0,0,0
261,Hydrograph,0,0,0,0,0,0,0
262,osiam,0,0,0,0,0,0,0
263,Android-Orma,0,0,0,0,0,0,0
264,jvmBASIC,0,0,0,0,0,0,0
265,ontop,0,0,0,0,0,0,0
266,Pinot,0,0,0,0,0,0,0
267,datacollector,0,0,0,0,0,0,0
268,RRD-ANTLR4,0,0,0,0,0,0,0
269,graylog-plugin-pipeline-processor,0,0,0,0,0,0,0
270,checkstyle,0,0,0,0,0,0,0
271,disthene-reader,0,0,0,0,0,0,0
272,APM,0,0,0,0,0,0,0
273,antlrworks2,0,0,0,0,0,0,0
274,elasticsearch-sql,0,0,0,0,0,0,0
275,beam,0,0,0,0,0,0,0
276,rockscript,0,0,0,0,0,0,0
277,compiler2016,0,0,0,0,0,0,0
278,antlr-java-parser,0,0,0,0,0,0,0
279,MPL,0,0,0,0,0,0,0
280,mini-markdown,0,0,0,0,0,0,0
281,nginx-java-parser,0,0,0,0,0,0,0
282,jdbi,0,0,0,0,0,0,0
283,opendb,0,0,0,0,0,0,0
284,dex2jar,0,0,0,0,0,0,0
285,Cubert,0,0,0,0,0,0,0
286,robots.txt,0,0,0,0,0,0,0
287,graphicsfuzz,0,0,0,0,0,0,0
288,WorldEdit,0,0,0,0,0,0,0
289,arma-dialog-creator,0,0,0,0,0,0,0
290,quarkus,0,0,0,0,0,0,0
291,er,0,0,0,0,0,0,0
292,SKON,0,0,0,0,0,0,0
293,botsing,0,0,0,0,0,0,0
294,beast2,0,0,0,0,0,0,0
295,arcusplatform,0,0,0,0,0,0,0
296,Final-Fanatic-Facility,0,0,0,0,0,0,0
297,xap,0,0,0,0,0,0,0
298,flink-cep-dsl,0,0,0,0,0,0,0
299,aliyun-odps-console,0,0,0,0,0,0,0
300,jdmn,0,0,0,0,0,0,0
301,sulong,0,0,0,0,0,0,0
302,yahdl,0,0,0,0,0,0,0
303,jabref,0,0,0,0,0,0,0
304,hive,0,0,0,0,0,0,0
305,antlr4-grammar-postgresql,0,0,0,0,0,0,0
306,greycat,0,0,0,0,0,0,0
307,PoseidonX,0,0,0,0,0,0,0
308,ethereumj,0,0,0,0,0,0,0
309,SSM,0,0,0,0,0,0,0
310,atomic,0,0,0,0,0,0,0
311,badger,0,0,0,0,0,0,0
312,yql-plus,0,0,0,0,0,0,0
313,graphql-gremlin,0,0,0,0,0,0,0
314,graylog2-server,0,0,0,0,0,0,0
315,Modulo7,0,0,0,0,0,0,0
316,debezium,0,0,0,0,0,0,0
317,dst,0,0,0,0,0,0,0
318,tailor,0,0,0,0,0,0,0
319,directory-scimple,0,0,0,0,0,0,0
320,metron,0,0,0,0,0,0,0
321,rewrite,0,0,0,0,0,0,0
322,logicaldecoding,0,0,0,0,0,0,0
323,ankor-framework,0,0,0,0,0,0,0
324,logical-rules-parser-antlr,0,0,0,0,0,0,0
325,SpinalTap,0,0,0,0,0,0,0
326,Q-Programming-Language,0,0,0,0,0,0,0
327,wyldcard,0,0,0,0,0,0,0
328,clinical_quality_language,0,0,0,0,0,0,0
329,PlayWithCompiler,0,0,0,0,0,0,0
330,jStyleParser,0,0,0,0,0,0,0
331,rapidminer-studio,0,0,0,0,0,0,0
332,kripton,0,0,0,0,0,0,0
333,tomlj,0,0,0,0,0,0,0
334,jetbrains-plugin-sample,0,0,0,0,0,0,0
335,ksql,0,0,0,0,0,0,0
336,thrift-enhancer,0,0,0,0,0,0,0
337,SCIMple-Identity,0,0,0,0,0,0,0
338,contact,0,0,0,0,0,0,0
339,gramtest,0,0,0,0,0,0,0
340,maxwell,0,0,0,0,0,0,0
341,processing4,0,0,0,0,0,0,0
342,Mu,0,0,0,0,0,0,0
343,zstack,0,0,0,0,0,0,0
344,RESOLVE,0,0,0,0,0,0,0
